ID,Title,Link,Source,Published,Author,Summary
402,See Lauren Sanchez leaving the Aman hotel ahead of her wedding to Jeff Bezos,https://edition.cnn.com/2025/06/27/style/video/bezos-wedding-sanchez-blows-kiss-ldn-digvid,CNN,2025-06-29 23:39:40.693248,,
403,Here’s what we know ahead of the Bezos-Sanchez wedding,https://edition.cnn.com/2025/06/27/style/video/bezos-sanchez-wedding-summary-bell-ldn-digvid,CNN,2025-06-29 23:39:40.696797,,
404,‘No space for Bezos’ projected with laser on Venice building,https://edition.cnn.com/2025/06/26/world/video/no-space-for-bezos-projected-with-laser-in-venice-digvid,CNN,2025-06-29 23:39:40.699871,,
405,"Oprah, Gates, Kardashians…First day of Bezos wedding weekend well underway",https://edition.cnn.com/2025/06/26/style/video/jeff-bezos-wedding-weekend-venice-digvid,CNN,2025-06-29 23:39:40.702754,,
406,"Kylian Mbappé sues PSG, accusing former club of ‘moral harassment’",https://edition.cnn.com/2025/06/26/sport/kylian-mbappe-sues-psg-spt-intl,CNN,2025-06-29 23:39:40.705004,,
407,Lyon relegated to French soccer’s second tier amid ongoing financial problems,https://edition.cnn.com/2025/06/24/sport/lyon-relegated-amid-financial-problems-spt,CNN,2025-06-29 23:39:40.707257,,
408,Lionel Messi to face former team PSG in Club World Cup round of 16 after Inter Miami progresses from group stage,https://edition.cnn.com/2025/06/24/sport/messi-inter-miami-psg-club-world-cup-knockouts-spt,CNN,2025-06-29 23:39:40.709135,,
409,A Dior debut and a fresh female perspective: What to watch at Paris Fashion Week Men’s,https://edition.cnn.com/2025/06/24/style/dior-debut-paris-fashion-week-mens,CNN,2025-06-29 23:39:40.711555,,
410,145 people pricked with syringes at France street music festival,https://edition.cnn.com/2025/06/23/europe/france-festival-syringe-attacks-intl-scli,CNN,2025-06-29 23:39:40.714755,,
411,Germany scraps funding for sea rescues of migrants,https://edition.cnn.com/2025/06/26/europe/germany-migrants-sea-rescue-funding-intl-latam,CNN,2025-06-29 23:39:40.717895,,
412,"Who is Florian Wirtz, the $156 million man joining Liverpool?",https://edition.cnn.com/2025/06/20/sport/florian-wirtz-liverpool-transfer-spt-intl,CNN,2025-06-29 23:39:40.720221,,
413,A brief history on hot dogs,https://edition.cnn.com/2020/07/03/travel/video/hot-dog-nathans-coney-island-travel-orig,CNN,2025-06-29 23:39:40.723191,,
414,Alex Zverev reaches second round in Halle after coming to aid of injured spectator,https://edition.cnn.com/2025/06/19/sport/alex-zverev-halle-aids-injured-spectator-spt-intl,CNN,2025-06-29 23:39:40.726609,,
415,"The UK, Germany and Canada have slashed foreign aid this year, deepening damage done by US cuts, analysis shows",https://edition.cnn.com/2025/06/12/europe/foreign-aid-cuts-uk-germany-canada-intl,CNN,2025-06-29 23:39:40.729603,,
416,"North Korea just opened a beach resort for 20,000 people. But who will visit?",https://edition.cnn.com/2025/06/26/travel/north-korea-kalma-beach-resort-tourism-intl-hnk,CNN,2025-06-29 23:39:40.733149,,
417,The latest pretrial developments in the Idaho student killings case,https://edition.cnn.com/2024/05/30/us/kohberger-idaho-killings-pretrial-hearings,CNN,2025-06-29 23:39:40.735415,,
418,"North Korea just opened a beach resort for 20,000 people",https://edition.cnn.com/2025/06/26/travel/video/north-korea-waterpark-beach-resort-ldn-digvid,CNN,2025-06-29 23:39:40.738069,,
419,Four astronauts launch to the space station as NASA grapples with strange twist in leak issue,https://edition.cnn.com/2025/06/25/science/axiom-space-iss-leak-zvezda-module,CNN,2025-06-29 23:39:40.739950,,
420,Trump says Putin called him to ask if he needed help with Iran,https://edition.cnn.com/2025/06/24/world/video/trump-putin-iran-help-digvid,CNN,2025-06-29 23:39:40.741839,,
421,Ukraine loses an F-16 pilot and his jet while fighting one of Russia’s biggest ever aerial attacks,https://edition.cnn.com/2025/06/29/europe/ukraine-f-16-pilot-killed-russia,CNN,2025-06-29 23:39:40.744236,,
422,"Russia has amassed 110,000 troops near strategic Ukrainian city, Kyiv says",https://edition.cnn.com/2025/06/27/world/pokrovsk-russia-ukraine-war-troops-intl,CNN,2025-06-29 23:39:40.747593,,
423,Inside the NATO charm offensive that shocked as much as it delivered,https://edition.cnn.com/2025/06/25/europe/rutte-daddy-trump-nato-ukraine-intl-latam,CNN,2025-06-29 23:39:40.750361,,
424,"US got ‘absolutely nothing in return’ for appeasing Putin, says former Swedish PM",https://edition.cnn.com/2025/06/26/Tv/video/amanpour-carl-bildt,CNN,2025-06-29 23:39:40.753005,,
425,Zelensky and European rights body establish tribunal to allow prosecution of Russian leaders,https://edition.cnn.com/2025/06/26/europe/zelensky-ukraine-special-tribunal-intl,CNN,2025-06-29 23:39:40.755867,,
